;session;sex;age;language;foreign_language;control_question;duration
0;2290019;F;27;հայերեն;անգլերեն;ծափահարություն;
0;2290172;M;38;Armenian;Russian, Polish, English;ծափահարություն;
0;2291325;M;21;Հայերեն;Ռուսերեն, անգլերեն;ծափահարություն;
0;2290536;F;18;Հայերեն;Անգլերեն,Ռուսերեն;ծափահարություն;
0;2291565;F;19;Հայերեն;Անգլերեն;ծափահարություն;
0;2290724;F;22;հայերեն;անգլերեն, ռուսերեն, իսպաներեն, չինարեն, ֆրանսերեն;ծափահարություն;
0;2290792;F;24;Հայերեն;Անգլերեն, ռուսերեն, կորեերեն;ծափահարություն;
0;2291645;F;24;Հայերեն;Ռուսերեն Անգլերեն, Վրացերեն, Կորեերեն;ծափահարություն;
0;2290574;F;17;Հայերեն;Ռուսերեն, անգլերեն, ամերիկական ժեստերի լեզու, հայկական ժեստերի լեզու;ծափահարություն;
0;2291030;F;20;Հայերեն;Ռուսերեն,անգլերեն, լեհերեն;ծափահարություն;
0;2292049;F;23;հայերեն;անգլերեն, ռուսերեն;ծափահարություն;
0;2292192;F;48;հայերեն;ռուսերեն, բուլղարերեն, անգլերեն;ծափահարություն;
0;2292471;F;19;Հայերեն;Անգլերեն, ֆրանսերեն, ռուսերեն;ծափահարություն;
0;2292747;F;25;Հայերեն;Անգլերեն Ռուսերեն ;ծափահարություն;
0;2293121;F;20;Հայերեն;անգլերեն,ռուսերեն,չինարեն;ծափահարություն;
0;2293549;M;18;Հայեերեն;Անգլերեն, ռուսերեն;ծափահարություն;
0;2295553;F;20;Հայերեն ;Ոչ մի ;ծափահարություն;
0;2295714;F;37;Հայերեն;Ռուսերեն;ծափահարություն;
0;2294899;F;22;հայերեն;անգլերեն ռուսերեն;ծափահարություն;
0;2295151;F;21;Հայերեն;Անգլերեն;ծափահարություն;
0;2295304;F;21;Հայերեն ;անգլերեն, ֆրանսերեն, ռուսերեն;ծափահարություն;
0;2296670;F;17;հայերեն;անգլերեն, ռուսերեն;չեզոք;
0;2295911;M;42;Հայերեն ;Ռուսերեն ;ծափահարություն;
0;2296823;F;39;հայերեն;ռուսերեն;ծափահարություն;
0;2296271;F;18;հայոց ;անգլերեն,ռուսերեն;ծափահարություն;
0;2297509;M;43;Հայերեն ;Ռուսերեն ;ծափահարություն;
0;2302592;F;22;Հայերեն;Անգքերեն, ռուսերեն;ծափահարություն;
0;2302585;F;23;Հայերեն;Անգլերեն, ռուսերեն;ծափահարություն;
